Feature,MI_Score
MSSubClass,0.20541657490230847
LotFrontage,0.16176817559279
OverallQual,0.2665880583532343
OverallCond,0.10550588082335333
YearBuilt,0.16905579849387298
YearRemodAdd,0.13009343474824586
MasVnrArea,0.038321420362511294
BsmtFinSF1,0.03686523074301107
BsmtFinSF2,0.012402556848625013
BsmtUnfSF,0.10249636052390487
TotalBsmtSF,0.13010287736484782
1stFlrSF,0.16004609114668433
2ndFlrSF,0.040523209256739356
GrLivArea,0.2630915731949135
BsmtFullBath,0.05185028101568245
FullBath,0.12081077125661621
BedroomAbvGr,0.23049643721494872
KitchenAbvGr,0.019533464213612017
TotRmsAbvGrd,0.15629548562153062
Fireplaces,0.08270201003560462
GarageYrBlt,0.14615657889115496
GarageCars,0.17026124514060093
GarageArea,0.23938916858466053
WoodDeckSF,0.08877500432628427
OpenPorchSF,0.02391998271903617
EnclosedPorch,0.020244865901071885
MoSold,0.017790158641387332
MSZoning_RL,0.05028216102685423
MSZoning_RM,0.06613329068781804
Alley_Grvl,0.040406187599606014
Alley_nan,0.03781907497813619
LotShape_IR1,0.03796792892195988
LotShape_Reg,0.05054997159985519
LotConfig_Inside,0.03039709321348938
LandSlope_Gtl,0.013188373152337451
LandSlope_Mod,0.013447903979690201
Neighborhood_BrkSide,0.021122507340074037
Neighborhood_CollgCr,0.08655412640033955
Neighborhood_Gilbert,0.03170315670959134
Neighborhood_NAmes,0.06840080693922257
Neighborhood_NridgHt,0.020154911218221994
Neighborhood_OldTown,0.0392953081711227
Condition1_Norm,0.02829724782701626
BldgType_1Fam,0.11656250418718073
BldgType_2fmCon,0.05996244723272959
BldgType_TwnhsE,0.09601445066128389
HouseStyle_1.5Fin,0.049738623505763524
HouseStyle_SFoyer,0.010493438234657537
Exterior1st_HdBoard,0.01965919513020009
Exterior1st_MetalSd,0.0425992223864633
Exterior1st_VinylSd,0.10385774895521704
Exterior1st_Wd Sdng,0.032796753638478116
Exterior2nd_MetalSd,0.0382881317549828
Exterior2nd_VinylSd,0.08723344076032591
Exterior2nd_Wd Sdng,0.03633323485387607
MasVnrType_BrkFace,0.0243180826185998
MasVnrType_Stone,0.029125033560001956
MasVnrType_nan,0.052296986173016036
ExterQual_Gd,0.15618022742811166
ExterQual_TA,0.15101398609401007
ExterCond_Gd,0.01384409336461312
ExterCond_TA,0.052090358259200276
Foundation_BrkTil,0.05437978751615713
Foundation_CBlock,0.037141244316668987
Foundation_PConc,0.13078513898256738
BsmtQual_Ex,0.07599614786468178
BsmtQual_Fa,0.015618051468929028
BsmtQual_Gd,0.05881576913895392
BsmtQual_TA,0.1059233471990122
BsmtFinType1_GLQ,0.06821454545800631
BsmtFinType1_Rec,0.01912033528066881
BsmtFinType2_Rec,0.015190183620821252
HeatingQC_Ex,0.0369746855984483
HeatingQC_Gd,0.01845279592202753
CentralAir_N,0.02656445774203342
CentralAir_Y,0.02656445774203342
Electrical_SBrkr,0.020512023441946914
KitchenQual_Gd,0.10095935329711025
KitchenQual_TA,0.1603746040417402
FireplaceQu_Gd,0.030285137907164472
FireplaceQu_TA,0.012187651740380057
FireplaceQu_nan,0.06423767605985375
GarageType_Attchd,0.10786163792504233
GarageType_Basment,0.045608771193296205
GarageType_BuiltIn,0.01172674647888039
GarageType_Detchd,0.13206760307856746
GarageFinish_Fin,0.024441300825990497
GarageFinish_RFn,0.0487033306092024
GarageFinish_Unf,0.14287136562466274
GarageQual_Fa,0.011104084207959941
GarageCond_Fa,0.032663935438593805
GarageCond_TA,0.034142965680779014
PavedDrive_N,0.014048528830444607
PavedDrive_P,0.028783009985573593
PavedDrive_Y,0.025159680965322284
Fence_GdPrv,0.01024987842728775
Fence_MnPrv,0.024185810384729667
Fence_nan,0.05423191011149675
SaleType_New,0.034517830308495645
SaleType_WD,0.01664096673326365
SaleCondition_Partial,0.019371148938418736
